# Generated by PyFunceble (v4.0.2.dev) / https://git.io/vpZoI
# Date of generation: 2021-12-07T01:15:38.434613

Status      Percentage   Amount      
----------- ------------ ------------
ACTIVE      0%           0           
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      0%           0           
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      100%         6           
INACTIVE    0%           0           
INVALID     0%           0           
ACTIVE      100%         12          
INACTIVE    0%           0           
INVALID     0%           0           
